timestamp,driving_style,road_type,RPM,THROTTLE_POS,SPEED,FUEL_PRESSURE,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,TIMING_ADVANCE,MAF,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,COMMANDED_EQUIV_RATIO,O2_B1S2,O2_B2S2,O2_S1_WR_VOLTAGE,COMMANDED_EGR
2025-05-14T18:51:47.119307,UNKNOWN_STYLE,UNKNOWN_ROAD,759.0,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:51.570670,UNKNOWN_STYLE,UNKNOWN_ROAD,739.25,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:52.075799,UNKNOWN_STYLE,UNKNOWN_ROAD,748.0,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:52.580845,UNKNOWN_STYLE,UNKNOWN_ROAD,754.25,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:53.085511,UNKNOWN_STYLE,UNKNOWN_ROAD,759.5,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:53.590606,UNKNOWN_STYLE,UNKNOWN_ROAD,751.25,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:54.095648,UNKNOWN_STYLE,UNKNOWN_ROAD,747.25,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:54.600704,UNKNOWN_STYLE,UNKNOWN_ROAD,753.75,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:55.105735,UNKNOWN_STYLE,UNKNOWN_ROAD,743.25,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:55.610315,UNKNOWN_STYLE,UNKNOWN_ROAD,752.75,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:56.115402,UNKNOWN_STYLE,UNKNOWN_ROAD,751.5,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:56.617530,UNKNOWN_STYLE,UNKNOWN_ROAD,742.5,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:57.118667,UNKNOWN_STYLE,UNKNOWN_ROAD,757.0,12.549019607843137,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:57.623754,UNKNOWN_STYLE,UNKNOWN_ROAD,752.0,13.333333333333334,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:58.127811,UNKNOWN_STYLE,UNKNOWN_ROAD,775.75,12.941176470588236,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:58.628764,UNKNOWN_STYLE,UNKNOWN_ROAD,790.25,12.941176470588236,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:59.133869,UNKNOWN_STYLE,UNKNOWN_ROAD,767.25,12.941176470588236,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:51:59.638956,UNKNOWN_STYLE,UNKNOWN_ROAD,764.0,12.941176470588236,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
2025-05-14T18:52:00.143318,UNKNOWN_STYLE,UNKNOWN_ROAD,769.75,12.941176470588236,0.0,54,1.9607843137254901,73,43,15.5,3.84,29,0.0,15.625,0.78125,0.78125,0.140544,0.405,0.11,2.795208667124437,7.0588235294117645
