timestamp,RPM,THROTTLE_POS,SPEED,FUEL_PRESSURE,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,TIMING_ADVANCE,MAF,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,COMMANDED_EQUIV_RATIO,FUEL_TYPE,O2_B1S2,O2_B2S2,O2_S1_WR_VOLTAGE,COMMANDED_EGR
2025-05-14T16:21:32.179630,2475.25,18.431372549019606,42.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:33.184663,2519.75,27.84313725490196,46.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:34.189665,2842.5,25.098039215686274,52.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:35.190657,2221.75,20.784313725490197,52.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:36.195718,2376.0,28.235294117647058,56.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:37.200210,2559.75,15.686274509803921,59.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:38.202383,1829.0,18.431372549019606,58.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:39.207336,1824.5,22.352941176470587,60.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:40.212359,1835.25,14.509803921568627,60.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:41.213469,1806.75,14.509803921568627,57.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:42.216084,1723.75,14.117647058823529,55.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:43.216628,1621.25,14.117647058823529,50.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:44.218707,1432.75,13.72549019607843,44.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:45.218890,1152.5,12.941176470588236,38.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:46.223919,873.75,12.941176470588236,28.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:47.227403,837.5,12.941176470588236,18.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:48.230930,1080.0,13.333333333333334,14.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
2025-05-14T16:21:49.233409,1180.0,23.529411764705884,17.0,54,2.7450980392156863,57,23,13.0,5.47,32,-2.34375,7.03125,-1.5625,0.78125,0.140544,Hybrid Ethanol,0.095,0.07,2.804974441138323,7.0588235294117645
