timestamp,RPM,ENGINE_LOAD,ABSOLUTE_LOAD,COOLANT_TEMP,INTAKE_TEMP,OIL_TEMP,INTAKE_PRESSURE,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,THROTTLE_POS,FUEL_PRESSURE,FUEL_RAIL_PRESSURE_VAC,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,COMMANDED_EQUIV_RATIO,O2_SENSORS,O2_B1S1,SPEED
2025-05-07T18:30:19.842840,2065.25,4.705882352941177,1807.0588235294117,89,26,-22,33,18,4.6080000000000005,20.0,54,364.032,-1.5625,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,38.0
2025-05-07T18:30:25.514726,2984.25,6.666666666666667,1807.0588235294117,87,25,-22,43,18,4.6080000000000005,24.705882352941178,54,364.032,-3.90625,1.5625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,57.0
2025-05-07T18:30:31.096685,2195.0,15.686274509803921,1807.0588235294117,87,25,-22,61,18,4.6080000000000005,19.607843137254903,54,364.032,-3.125,2.34375,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,54.0
2025-05-07T18:30:36.704995,2046.25,4.705882352941177,1807.0588235294117,87,25,-22,26,18,4.6080000000000005,18.823529411764707,54,364.032,-2.34375,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,42.0
2025-05-07T18:30:42.290483,2954.0,6.666666666666667,1807.0588235294117,87,24,-22,57,18,4.6080000000000005,21.568627450980394,54,364.032,0.0,2.34375,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,51.0
2025-05-07T18:30:47.858763,1784.25,5.490196078431373,1807.0588235294117,87,24,-22,52,18,4.6080000000000005,23.137254901960784,54,364.032,-2.34375,3.125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,45.0
2025-05-07T18:30:53.734969,1743.25,3.1372549019607843,1807.0588235294117,88,24,-22,23,18,4.6080000000000005,16.07843137254902,54,364.032,0.0,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,35.0
2025-05-07T18:30:59.333120,2658.0,16.07843137254902,1807.0588235294117,88,24,-22,37,18,4.6080000000000005,17.647058823529413,54,364.032,0.0,2.34375,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,46.0
2025-05-07T18:31:05.516838,1616.25,3.5294117647058822,1807.0588235294117,87,24,-22,24,18,4.6080000000000005,12.549019607843137,54,364.032,0.0,7.03125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,22.0
2025-05-07T18:31:11.084977,2485.5,25.49019607843137,1807.0588235294117,87,24,-22,91,18,4.6080000000000005,19.607843137254903,54,364.032,0.0,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,44.0
