timestamp,RPM,THROTTLE_POS,SPEED,FUEL_PRESSURE,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,TIMING_ADVANCE,MAF,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,COMMANDED_EQUIV_RATIO,O2_B1S2,O2_B2S2,O2_S1_WR_VOLTAGE,COMMANDED_EGR,driving_style,time_diff,new_session
2025-05-07 17:23:40.397476,735.0,12.15686274509804,0.0,54.0,1.568627450980392,95.0,31.0,,,27.0,0.78125,14.0625,,,0.140544,,,,,idle,5.54752,0
2025-05-07 17:23:46.174915,755.0,12.15686274509804,0.0,54.0,1.568627450980392,96.0,32.0,,,27.0,1.5625,14.0625,,,0.140544,,,,,idle,5.777439,0
2025-05-07 17:23:51.734731,733.75,12.15686274509804,0.0,54.0,1.568627450980392,94.0,32.0,,,27.0,0.78125,14.0625,,,0.140544,,,,,idle,5.559816,0
2025-05-07 17:23:57.326703,747.75,12.15686274509804,0.0,54.0,1.568627450980392,93.0,33.0,,,27.0,1.5625,14.84375,,,0.140544,,,,,idle,5.591972,0
2025-05-07 17:24:02.861292,753.75,12.15686274509804,0.0,54.0,1.568627450980392,91.0,33.0,,,27.0,0.78125,14.84375,,,0.140544,,,,,idle,5.534589,0
2025-05-07 17:24:08.429906,748.75,12.15686274509804,0.0,54.0,1.568627450980392,90.0,34.0,,,27.0,1.5625,15.625,,,0.140544,,,,,idle,5.568614,0
2025-05-07 17:24:14.006672,749.5,12.15686274509804,0.0,54.0,1.568627450980392,91.0,34.0,,,26.0,-0.78125,15.625,,,0.140544,,,,,idle,5.576766,0
2025-05-07 17:24:19.559856,0.0,16.470588235294116,0.0,54.0,0.7843137254901961,92.0,35.0,,,101.0,0.0,15.625,,,0.140544,,,,,idle,5.553184,0
2025-05-07 18:28:11.895251,780.5,12.941176470588236,0.0,54.0,1.96078431372549,67.0,40.0,,,29.0,-0.78125,15.625,,,0.140544,,,,,idle,3832.335395,1
2025-05-08 11:15:48.136590,1265.5,14.901960784313726,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,60095.626655,2
2025-05-08 11:15:58.405379,1239.5,14.901960784313726,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,10.268789,2
2025-05-08 11:15:59.905481,1239.75,14.901960784313726,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.500102,2
2025-05-08 11:16:01.410482,1239.75,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.505001,2
2025-05-08 11:16:02.913491,1225.75,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.503009,2
2025-05-08 11:16:04.417673,1237.0,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.504182,2
2025-05-08 11:16:05.921804,1210.0,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.504131,2
2025-05-08 11:16:07.426780,1209.25,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.504976,2
2025-05-08 11:16:08.928711,1216.0,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.501931,2
2025-05-08 11:16:10.433702,1188.5,14.509803921568627,0.0,54.0,4.705882352941177,38.0,22.0,15.0,9.05,35.0,-6.25,7.8125,-4.6875,1.5625,0.140544,0.185,0.17,2.804974441138323,7.0588235294117645,idle,1.504991,2
