timestamp,driving_style,road_type,RPM,THROTTLE_POS,SPEED,FUEL_PRESSURE,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,TIMING_ADVANCE,MAF,INTAKE_PRESSURE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,COMMANDED_EQUIV_RATIO,O2_B1S2,O2_B2S2,O2_S1_WR_VOLTAGE,COMMANDED_EGR
2025-05-15T14:24:24.058899,UNKNOWN_STYLE,UNKNOWN_ROAD,908.5,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:28.393424,UNKNOWN_STYLE,main,880.5,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:28.896336,UNKNOWN_STYLE,main,884.75,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:29.399801,UNKNOWN_STYLE,main,903.0,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:29.904840,UNKNOWN_STYLE,main,893.0,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:30.409923,UNKNOWN_STYLE,main,896.0,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:30.914985,UNKNOWN_STYLE,main,897.5,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:31.420048,UNKNOWN_STYLE,main,891.25,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:31.925158,UNKNOWN_STYLE,main,892.25,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
2025-05-15T14:24:32.425972,UNKNOWN_STYLE,main,891.75,13.333333333333334,0.0,54,2.7450980392156863,54,24,16.0,5.55,32,-5.46875,7.03125,-1.5625,-0.78125,0.140544,0.105,0.09,2.795208667124437,7.0588235294117645
